MM/DD/YY,HH/MM/SS,Hour,Centigrade,%RH
03/28/24,13:59:53,13:00:00,22.4,35.80%
03/28/24,14:00:53,14:00:00,22.4,35.60%
03/28/24,14:01:53,14:00:00,22.4,35.30%
03/28/24,14:02:53,14:00:00,22.4,35.80%
03/28/24,14:03:53,14:00:00,22.4,35.70%
03/28/24,14:04:53,14:00:00,22.4,35.40%
03/28/24,14:05:53,14:00:00,22.4,35.40%
03/28/24,14:06:53,14:00:00,22.4,35.50%
03/28/24,14:07:53,14:00:00,22.4,35.60%
03/28/24,14:08:53,14:00:00,22.4,35.80%
03/28/24,14:09:53,14:00:00,22.4,35.60%
03/28/24,14:10:53,14:00:00,22.4,35.70%
03/28/24,14:11:53,14:00:00,22.4,35.60%
03/28/24,14:12:53,14:00:00,22.4,35.50%
03/28/24,14:13:53,14:00:00,22.4,35.60%
03/28/24,14:14:53,14:00:00,22.4,35.90%
03/28/24,14:15:53,14:00:00,22.4,35.40%
03/28/24,14:16:53,14:00:00,22.4,35.80%
03/28/24,14:17:53,14:00:00,22.4,35.80%
03/28/24,14:18:53,14:00:00,22.4,35.70%
03/28/24,14:19:53,14:00:00,22.4,35.80%
03/28/24,14:20:53,14:00:00,22.5,35.50%
03/28/24,14:21:53,14:00:00,22.4,35.80%
03/28/24,14:22:53,14:00:00,22.5,35.80%
03/28/24,14:23:53,14:00:00,22.5,35.60%
03/28/24,14:24:53,14:00:00,22.4,35.80%
03/28/24,14:25:53,14:00:00,22.5,35.40%
03/28/24,14:26:53,14:00:00,22.5,35.40%
03/28/24,14:27:53,14:00:00,22.5,35.50%
03/28/24,14:28:53,14:00:00,22.5,35.40%
03/28/24,14:29:53,14:00:00,22.5,35.60%
03/28/24,14:30:53,14:00:00,22.5,35.60%
03/28/24,14:31:53,14:00:00,22.5,35.40%
03/28/24,14:32:53,14:00:00,22.5,35.70%
03/28/24,14:33:53,14:00:00,22.5,35.50%
03/28/24,14:34:53,14:00:00,22.5,35.70%
03/28/24,14:35:53,14:00:00,22.5,35.80%
03/28/24,14:36:53,14:00:00,22.5,35.60%
03/28/24,14:37:53,14:00:00,22.5,35.70%
03/28/24,14:38:53,14:00:00,22.5,35.70%
03/28/24,14:39:53,14:00:00,22.6,35.30%
03/28/24,14:40:53,14:00:00,22.5,35.50%
03/28/24,14:41:53,14:00:00,22.6,35.70%
03/28/24,14:42:53,14:00:00,22.6,35.70%
03/28/24,14:43:53,14:00:00,22.6,35.70%
03/28/24,14:44:53,14:00:00,22.6,35.80%
03/28/24,14:45:53,14:00:00,22.6,35.80%
03/28/24,14:46:53,14:00:00,22.6,35.70%
03/28/24,14:47:53,14:00:00,22.6,35.80%
03/28/24,14:48:53,14:00:00,22.6,35.80%
03/28/24,14:49:53,14:00:00,22.6,35.70%
03/28/24,14:50:53,14:00:00,22.6,35.50%
03/28/24,14:51:53,14:00:00,22.6,35.50%
03/28/24,14:52:53,14:00:00,22.6,35.60%
03/28/24,14:53:53,14:00:00,22.6,35.70%
03/28/24,14:54:53,14:00:00,22.6,35.80%
03/28/24,14:55:53,14:00:00,22.6,35.80%
03/28/24,14:56:53,14:00:00,22.6,35.80%
03/28/24,14:57:53,14:00:00,22.6,35.70%
03/28/24,14:58:53,14:00:00,22.7,35.90%
03/28/24,14:59:53,14:00:00,22.6,35.40%
03/28/24,15:00:53,15:00:00,22.7,35.80%
03/28/24,15:01:53,15:00:00,22.7,35.60%
03/28/24,15:02:53,15:00:00,22.7,35.70%
03/28/24,15:03:53,15:00:00,22.7,35.80%
03/28/24,15:04:53,15:00:00,22.7,35.60%
03/28/24,15:05:53,15:00:00,22.7,35.80%
03/28/24,15:06:53,15:00:00,22.7,35.90%
03/28/24,15:07:53,15:00:00,22.7,35.90%
03/28/24,15:08:53,15:00:00,22.7,35.90%
03/28/24,15:09:53,15:00:00,22.7,35.90%
03/28/24,15:10:53,15:00:00,22.7,35.90%
03/28/24,15:11:53,15:00:00,22.7,35.90%
03/28/24,15:12:53,15:00:00,22.7,35.80%
03/28/24,15:13:53,15:00:00,22.7,35.80%
03/28/24,15:14:53,15:00:00,22.7,35.50%
03/28/24,15:15:53,15:00:00,22.7,35.80%
03/28/24,15:16:53,15:00:00,22.7,35.80%
03/28/24,15:17:53,15:00:00,22.7,35.90%
03/28/24,15:18:53,15:00:00,22.7,35.70%
03/28/24,15:19:53,15:00:00,22.7,35.80%
03/28/24,15:20:53,15:00:00,22.7,35.50%
03/28/24,15:21:53,15:00:00,22.7,35.70%
03/28/24,15:22:53,15:00:00,22.7,35.90%
03/28/24,15:23:53,15:00:00,22.7,35.80%
03/28/24,15:24:53,15:00:00,22.7,35.80%
03/28/24,15:25:53,15:00:00,22.7,35.80%
03/28/24,15:26:53,15:00:00,22.7,35.90%
03/28/24,15:27:53,15:00:00,22.7,35.50%
03/28/24,15:28:53,15:00:00,22.7,35.80%
03/28/24,15:29:53,15:00:00,22.7,35.70%
03/28/24,15:30:53,15:00:00,22.7,35.80%
03/28/24,15:31:53,15:00:00,22.7,35.70%
03/28/24,15:32:53,15:00:00,22.7,35.80%
03/28/24,15:33:53,15:00:00,22.7,35.80%
03/28/24,15:34:53,15:00:00,22.7,35.80%
03/28/24,15:35:53,15:00:00,22.7,35.80%
03/28/24,15:36:53,15:00:00,22.7,35.40%
03/28/24,15:37:53,15:00:00,22.7,35.70%
03/28/24,15:38:53,15:00:00,22.7,35.70%
03/28/24,15:39:53,15:00:00,22.7,35.60%
03/28/24,15:40:53,15:00:00,22.7,35.70%
03/28/24,15:41:53,15:00:00,22.7,35.80%
03/28/24,15:42:53,15:00:00,22.7,35.80%
03/28/24,15:43:53,15:00:00,22.7,35.40%
03/28/24,15:44:53,15:00:00,22.7,35.70%
03/28/24,15:45:53,15:00:00,22.8,35.60%
03/28/24,15:46:53,15:00:00,22.8,35.60%
03/28/24,15:47:53,15:00:00,22.7,35.70%
03/28/24,15:48:53,15:00:00,22.8,35.60%
03/28/24,15:49:53,15:00:00,22.8,35.80%
03/28/24,15:50:53,15:00:00,22.8,35.70%
03/28/24,15:51:53,15:00:00,22.8,35.70%
03/28/24,15:52:53,15:00:00,22.8,35.70%
03/28/24,15:53:53,15:00:00,22.8,35.80%
03/28/24,15:54:53,15:00:00,22.8,35.80%
03/28/24,15:55:53,15:00:00,22.8,35.80%
03/28/24,15:56:53,15:00:00,22.8,35.70%
03/28/24,15:57:53,15:00:00,22.8,35.70%
03/28/24,15:58:53,15:00:00,22.8,35.80%
03/28/24,15:59:53,15:00:00,22.8,35.80%
03/28/24,16:00:53,16:00:00,22.8,35.80%
03/28/24,16:01:53,16:00:00,22.8,35.80%
03/28/24,16:02:53,16:00:00,22.8,35.80%
03/28/24,16:03:53,16:00:00,22.8,35.80%
03/28/24,16:04:53,16:00:00,22.8,35.80%
03/28/24,16:05:53,16:00:00,22.8,35.80%
03/28/24,16:06:53,16:00:00,22.8,35.80%
03/28/24,16:07:53,16:00:00,22.8,35.80%
03/28/24,16:08:53,16:00:00,22.8,35.70%
03/28/24,16:09:53,16:00:00,22.8,35.80%
03/28/24,16:10:53,16:00:00,22.8,35.60%
03/28/24,16:11:53,16:00:00,22.8,35.70%
03/28/24,16:12:53,16:00:00,22.8,35.80%
03/28/24,16:13:53,16:00:00,22.8,35.80%
03/28/24,16:14:53,16:00:00,22.9,35.80%
03/28/24,16:15:53,16:00:00,22.8,35.80%
03/28/24,16:16:53,16:00:00,22.9,35.80%
03/28/24,16:17:53,16:00:00,22.8,35.70%
03/28/24,16:18:53,16:00:00,22.9,35.70%
03/28/24,16:19:53,16:00:00,22.9,35.70%
03/28/24,16:20:53,16:00:00,22.9,35.90%
03/28/24,16:21:53,16:00:00,22.9,35.80%
03/28/24,16:22:53,16:00:00,22.9,35.80%
03/28/24,16:23:53,16:00:00,22.9,35.80%
03/28/24,16:24:53,16:00:00,22.9,35.70%
03/28/24,16:25:53,16:00:00,22.9,35.80%
03/28/24,16:26:53,16:00:00,22.9,35.80%
03/28/24,16:27:53,16:00:00,22.9,35.70%
03/28/24,16:28:53,16:00:00,22.9,35.80%
03/28/24,16:29:53,16:00:00,22.9,35.80%
03/28/24,16:30:53,16:00:00,22.9,35.70%
03/28/24,16:31:53,16:00:00,22.9,35.80%
03/28/24,16:32:53,16:00:00,22.9,35.70%
03/28/24,16:33:53,16:00:00,22.9,35.80%
03/28/24,16:34:53,16:00:00,22.9,35.80%
03/28/24,16:35:53,16:00:00,22.9,35.70%
03/28/24,16:36:53,16:00:00,22.9,35.80%
03/28/24,16:37:53,16:00:00,22.9,35.70%
03/28/24,16:38:53,16:00:00,22.9,35.80%
03/28/24,16:39:53,16:00:00,22.9,35.80%
03/28/24,16:40:53,16:00:00,23,35.70%
03/28/24,16:41:53,16:00:00,23,35.80%
03/28/24,16:42:53,16:00:00,23,35.80%
03/28/24,16:43:53,16:00:00,23,35.80%
03/28/24,16:44:53,16:00:00,23,35.70%
03/28/24,16:45:53,16:00:00,23,35.80%
03/28/24,16:46:53,16:00:00,23,35.80%
03/28/24,16:47:53,16:00:00,23,35.80%
03/28/24,16:48:53,16:00:00,23,35.70%
03/28/24,16:49:53,16:00:00,23,35.60%
03/28/24,16:50:53,16:00:00,23,35.80%
03/28/24,16:51:53,16:00:00,23,35.80%
03/28/24,16:52:53,16:00:00,23,35.80%
03/28/24,16:53:53,16:00:00,23,35.80%
03/28/24,16:54:53,16:00:00,23,35.80%
03/28/24,16:55:53,16:00:00,23,35.80%
03/28/24,16:56:53,16:00:00,23,35.80%
03/28/24,16:57:53,16:00:00,23,35.60%
03/28/24,16:58:53,16:00:00,23,35.70%
03/28/24,16:59:53,16:00:00,23,35.70%
03/28/24,17:00:53,17:00:00,22.9,35.70%
03/28/24,17:01:53,17:00:00,23,35.70%
03/28/24,17:02:53,17:00:00,23,35.80%
03/28/24,17:03:53,17:00:00,23,35.80%
03/28/24,17:04:53,17:00:00,23,35.70%
03/28/24,17:05:53,17:00:00,23,35.80%
03/28/24,17:06:53,17:00:00,23,35.80%
03/28/24,17:07:53,17:00:00,23,35.60%
03/28/24,17:08:53,17:00:00,23,35.70%
03/28/24,17:09:53,17:00:00,23,35.80%
03/28/24,17:10:53,17:00:00,23,35.70%
03/28/24,17:11:53,17:00:00,23,35.60%
03/28/24,17:12:53,17:00:00,23,35.80%
03/28/24,17:13:53,17:00:00,23,35.80%
03/28/24,17:14:53,17:00:00,23,35.70%
03/28/24,17:15:53,17:00:00,23,35.80%
03/28/24,17:16:53,17:00:00,23,35.60%
03/28/24,17:17:53,17:00:00,23,35.60%
03/28/24,17:18:53,17:00:00,23,35.70%
03/28/24,17:19:53,17:00:00,23,35.80%
03/28/24,17:20:53,17:00:00,23,35.70%
03/28/24,17:21:53,17:00:00,23,35.70%
03/28/24,17:22:53,17:00:00,23,35.80%
03/28/24,17:23:53,17:00:00,23,35.70%
03/28/24,17:24:53,17:00:00,23,35.80%
03/28/24,17:25:53,17:00:00,23,35.80%
03/28/24,17:26:53,17:00:00,23,35.80%
03/28/24,17:27:53,17:00:00,23,35.80%
03/28/24,17:28:53,17:00:00,23,35.80%
03/28/24,17:29:53,17:00:00,23,35.90%
03/28/24,17:30:53,17:00:00,23,35.80%
03/28/24,17:31:53,17:00:00,23,35.70%
03/28/24,17:32:53,17:00:00,23,35.80%
03/28/24,17:33:53,17:00:00,23,35.80%
03/28/24,17:34:53,17:00:00,23,35.80%
03/28/24,17:35:53,17:00:00,23,35.80%
03/28/24,17:36:53,17:00:00,23,35.80%
03/28/24,17:37:53,17:00:00,23.1,35.90%
03/28/24,17:38:53,17:00:00,23.1,35.80%
03/28/24,17:39:53,17:00:00,23.1,35.80%
03/28/24,17:40:53,17:00:00,23.1,35.80%
03/28/24,17:41:53,17:00:00,23.1,35.80%
03/28/24,17:42:53,17:00:00,23.1,35.90%
03/28/24,17:43:53,17:00:00,23.1,35.80%
03/28/24,17:44:53,17:00:00,23.1,35.80%
03/28/24,17:45:53,17:00:00,23.1,35.80%
03/28/24,17:46:53,17:00:00,23.1,35.90%
03/28/24,17:47:53,17:00:00,23.1,35.90%
03/28/24,17:48:53,17:00:00,23.1,35.90%
03/28/24,17:49:53,17:00:00,23.1,35.80%
03/28/24,17:50:53,17:00:00,23.1,35.80%
03/28/24,17:51:53,17:00:00,23.1,35.90%
03/28/24,17:52:53,17:00:00,23.1,35.80%
03/28/24,17:53:53,17:00:00,23.1,35.80%
03/28/24,17:54:53,17:00:00,23.1,35.80%
03/28/24,17:55:53,17:00:00,23.2,35.90%
03/28/24,17:56:53,17:00:00,23.2,35.80%
03/28/24,17:57:53,17:00:00,23.2,35.90%
03/28/24,17:58:53,17:00:00,23.2,35.80%
03/28/24,17:59:53,17:00:00,23.2,35.90%
